"LOB","Claim_Number","Claimant_Sequence","Party_Update","Coverage_Code_Detail","Claim_Type","ref_claim_number"
CA,1902658,1,"1st Party",Coll,APD,"1902658-1"
CA,1902790,1,"3rd Party",Prop Damage,AL,"1902790-1"
CA,1902790,2,"1st Party",Coll,APD,"1902790-2"
CA,1902790,3,"3rd Party",Prop Damage,AL,"1902790-3"
CA,1902790,4,"3rd Party",Prop Damage,AL,"1902790-4"
CA,1902790,5,"3rd Party",Prop Damage,AL,"1902790-5"
CA,1902816,1,"1st party",Coll,APD,"1902816-1"
CA,1902816,2,"3rd Party",Prop Damage,AL,"1902816-2"
CA,1903191,1,"1st Party",Prop Damage,APD,"1903191-1"
CA,1903191,2,"3rd Party",Prop Damage,AL,"1903191-2"
CA,1903414,1,"1st Party",Coll,APD,"1903414-1"
CA,1903510,1,"1st Party",Coll,APD,"1903510-1"
CA,1903510,2,"3rd Party",Prop Damage,AL,"1903510-2"
CA,1903972,1,"3rd Party",Prop Damage,AL,"1903972-1"
CA,1904193,1,"1st Party",Comp ,APD,"1904193-1"
CA,1904208,1,"1st Party",Coll,APD,"1904208-1"
CA,1904208,2,"3rd Party",Coll,AL,"1904208-2"
CA,1904266,1,"1st Party",Coll,APD,"1904266-1"
CA,1904295,1,"1st Party",Coll,APD,"1904295-1"
CA,1904295,2,"3rd Party",Prop Damage,AL,"1904295-2"
CA,1904807,1,"3rd Party",Prop Damage,AL,"1904807-1"
CA,1904807,2,"1st Party",Coll,APD,"1904807-2"
CA,1904807,3,"3rd Party",Prop Damage,AL,"1904807-3"
CA,1904807,4,"3rd Party",Prop Damage,AL,"1904807-4"
CA,1904807,5,"3rd Party",Prop Damage,AL,"1904807-5"
CA,1904807,6,"3rd Party",Prop Damage,AL,"1904807-6"
CA,1904807,7,"3rd Party",Prop Damage,AL,"1904807-7"
CA,1909029,1,"1st Party",Coll,APD,"1909029-1"
CA,1909029,2,"3rd Party",Prop Damage,AL,"1909029-2"
CA,1909029,3,"3rd Party",Prop Damage,AL,"1909029-3"
CA,1909029,4,"3rd Party",Prop Damage,AL,"1909029-4"
CA,1909031,1,"1st Party",Coll,APD,"1909031-1"
CA,1909031,2,"3rd Party",Prop Damage,AL,"1909031-2"
CA,1909392,1,"1st Party",Comp ,APD,"1909392-1"
CA,1909421,1,"1st Party",Coll,APD,"1909421-1"
CA,1909421,2,"3rd Party",Prop Damage,AL,"1909421-2"
CA,1909529,1,"3rd Party",Prop Damage,AL,"1909529-1"
CA,1909578,1,"1st Party",Coll,APD,"1909578-1"
CA,1909578,2,"3rd Party",Prop Damage,AL,"1909578-2"
CA,1909578,3,"3rd Party",Prop Damage,AL,"1909578-3"
CA,1910639,1,"3rd Party",Prop Damage,AL,"1910639-1"
CA,1910639,2,"3rd Party",Prop Damage,AL,"1910639-2"
CA,1910868,1,"1st Party",Coll,APD,"1910868-1"
CA,1910868,2,"3rd Party",Prop Damage,AL,"1910868-2"
CA,1911222,1,"3rd Party",Prop Damage,AL,"1911222-1"
CA,1911222,2,"3rd Party",Prop Damage,AL,"1911222-2"
CA,1911400,1,"1st party",Comp ,APD,"1911400-1"
CA,1911407,1,"3rd Party",Prop Damage,AL,"1911407-1"
CA,1911552,1,"1st Party",Coll,APD,"1911552-1"
CA,1911552,2,"3rd Party",Prop Damage,AL,"1911552-2"
CA,1911552,3,"3rd Party",Prop Damage,AL,"1911552-3"
CA,1911671,1,"3rd Party",Prop Damage,AL,"1911671-1"
CA,1911671,2,"1st Party",Prop Damage,APD,"1911671-2"
CA,1911671,3,"3rd Party",Prop Damage,AL,"1911671-3"
CA,1912007,1,"1st Party",Coll,APD,"1912007-1"
CA,1912007,2,"3rd Party",UM Bodily Injury,AL,"1912007-2"
CA,1912234,1,"3rd Party",Prop Damage,AL,"1912234-1"
CA,1912234,2,"1st Party",Prop Damage,APD,"1912234-2"
CA,1912234,3,"3rd Party",Prop Damage,AL,"1912234-3"
CA,1912351,1,"1st Party",Comp ,APD,"1912351-1"
CA,1912380,1,"1st Party",Coll,APD,"1912380-1"
CA,1912380,2,"3rd Party",Prop Damage,AL,"1912380-2"
CA,1912895,1,"3rd Party",Prop Damage,AL,"1912895-1"
CA,1912895,2,"1st Party",Coll,APD,"1912895-2"
CA,1912895,3,"3rd Party",Prop Damage,AL,"1912895-3"
CA,1912895,4,"3rd Party",Prop Damage,AL,"1912895-4"
CA,1912916,1,"1st Party",Coll,APD,"1912916-1"
CA,1912916,2,"3rd Party",Coll,AL,"1912916-2"
CA,1913179,1,"1st Party",Comp ,APD,"1913179-1"
CA,1913179,2,"1st Party",Comp ,APD,"1913179-2"
CA,1913179,3,"1st Party",Comp ,APD,"1913179-3"
CA,1913179,4,"1st Party",Comp ,APD,"1913179-4"
CA,1913297,1,"1st Party",Coll,APD,"1913297-1"
CA,1913736,1,"1st Party",Comp ,APD,"1913736-1"
CA,1914552,1,"3rd Party",Prop Damage,AL,"1914552-1"
CA,1914552,2,"1st Party",Prop Damage,APD,"1914552-2"
CA,1914596,1,"3rd Party",Coll,AL,"1914596-1"
CA,1914596,2,"1st Party",Coll,APD,"1914596-2"
CA,1915407,1,"1st Party",Coll,APD,"1915407-1"
CA,1915407,2,"3rd Party",Prop Damage,AL,"1915407-2"
CA,1915639,1,"1st Party",Comp ,APD,"1915639-1"
CA,1916066,1,"1st Party",Comp ,APD,"1916066-1"
CA,1916196,1,"3rd Party",Coll,AL,"1916196-1"
CA,1916510,1,"1st Party",Coll,APD,"1916510-1"
CA,1916510,2,"3rd Party",Prop Damage,AL,"1916510-2"
CA,1916510,3,"3rd Party",Prop Damage,AL,"1916510-3"
CA,1916666,1,"1st Party",Prop Damage,APD,"1916666-1"
CA,1916666,2,"3rd Party",Prop Damage,AL,"1916666-2"
CA,1917026,1,"3rd Party",Prop Damage,AL,"1917026-1"
CA,1917412,1,"1st Party",Comp ,APD,"1917412-1"
CA,1917652,1,"1st Party",Coll,APD,"1917652-1"
CA,1917652,2,"3rd Party",Prop Damage,AL,"1917652-2"
CA,1917669,1,"3rd Party",Prop Damage,AL,"1917669-1"
CA,1917864,1,"1st Party",Coll,APD,"1917864-1"
CA,1917864,2,"3rd Party",Prop Damage,AL,"1917864-2"
CA,1917919,1,"1st Party",Comp ,APD,"1917919-1"
CA,1917934,1,"3rd Party",Coll,AL,"1917934-1"
CA,1917934,2,"1st Party",Coll,APD,"1917934-2"
CA,1918019,1,"1st Party",Coll,APD,"1918019-1"
CA,1918201,1,"3rd Party",Prop Damage,AL,"1918201-1"
CA,1918390,1,"1st Party",Coll,APD,"1918390-1"
CA,1918390,2,"3rd Party",Prop Damage,AL,"1918390-2"
CA,1918478,1,"1st Party",Prop Damage,APD,"1918478-1"
CA,1918478,2,"3rd Party",Prop Damage,AL,"1918478-2"
CA,1918589,1,"1st Party",Comp ,APD,"1918589-1"
CA,1918602,1,"3rd Party",Coll,AL,"1918602-1"
CA,1918602,2,"3rd Party",Prop Damage,AL,"1918602-2"
CA,1919426,1,"1st Party",Comp ,APD,"1919426-1"
CA,1919442,1,"1st Party",Comp ,APD,"1919442-1"
CA,1919846,1,"1st Party",Coll,APD,"1919846-1"
CA,1919846,2,"3rd Party",Prop Damage,AL,"1919846-2"
CA,1919846,3,"3rd Party",Coll,AL,"1919846-3"
CA,1919895,1,"3rd Party",Prop Damage,AL,"1919895-1"
CA,1919924,1,"1st Party",Comp ,APD,"1919924-1"
CA,1919924,2,"3rd Party",Comp ,AL,"1919924-2"
CA,1919949,1,"1st Party",Comp ,APD,"1919949-1"
CA,1919949,2,"1st Party",Comp ,APD,"1919949-2"
CA,1920164,1,"3rd Party",Prop Damage,AL,"1920164-1"
CA,1920164,2,"1st Party",Coll,APD,"1920164-2"
CA,1920317,1,"1st Party",Coll,APD,"1920317-1"
CA,1920525,1,"3rd Party",Prop Damage,AL,"1920525-1"
CA,1920525,2,"3rd Party",Prop Damage,AL,"1920525-2"
CA,1920525,3,"1st Party",Prop Damage,APD,"1920525-3"
CA,1920525,4,"3rd Party",Prop Damage,AL,"1920525-4"
CA,1920525,5,"3rd Party",Prop Damage,AL,"1920525-5"
CA,1920720,1,"3rd Party",Prop Damage,AL,"1920720-1"
CA,1920720,2,"3rd Party",Prop Damage,AL,"1920720-2"
CA,1920929,1,"3rd Party",Prop Damage,AL,"1920929-1"
CA,1920929,2,"1st Party",Prop Damage,APD,"1920929-2"
CA,1921023,1,"3rd Party",Prop Damage,AL,"1921023-1"
CA,1921036,1,"1st Party",Coll,APD,"1921036-1"
CA,1921036,2,"3rd Party",Prop Damage,AL,"1921036-2"
CA,1921036,3,"3rd Party",Prop Damage,AL,"1921036-3"
CA,1921036,4,"3rd Party",PIP,AL,"1921036-4"
CA,1921036,5,"3rd Party",PIP,AL,"1921036-5"
CA,1921036,6,"3rd Party",First Party Acc Death or First Party Additional Benefits,AL,"1921036-6"
CA,1921036,7,"3rd Party",First Party Acc Death or First Party Additional Benefits,AL,"1921036-7"
CA,1921053,1,"1st Party",Prop Damage,APD,"1921053-1"
CA,1921053,2,"3rd Party",Prop Damage,AL,"1921053-2"
CA,1921083,1,"1st Party",Comp ,APD,"1921083-1"
CA,1921083,2,"1st Party",Comp ,APD,"1921083-2"
CA,1921083,3,"3rd Party",Prop Damage,AL,"1921083-3"
CA,1921134,1,"1st Party",Coll,APD,"1921134-1"
CA,1921757,1,"3rd Party",Prop Damage,AL,"1921757-1"
CA,1921757,2,"3rd Party",Coll,AL,"1921757-2"
CA,1921767,1,"3rd Party",Prop Damage,AL,"1921767-1"
CA,1921767,2,"1st Party",Coll,APD,"1921767-2"
CA,1922237,1,"1st Party",Prop Damage,APD,"1922237-1"
CA,1922237,2,"3rd Party",Prop Damage,AL,"1922237-2"
CA,1922359,1,"1st Party",Prop Damage,APD,"1922359-1"
CA,1922359,2,"1st Party",Comp ,APD,"1922359-2"
CA,1922359,3,"1st Party",Comp ,APD,"1922359-3"
CA,1922359,4,"1st Party",Comp ,APD,"1922359-4"
CA,1922397,1,"1st Party",Coll,APD,"1922397-1"
CA,1922397,2,"3rd Party",Prop Damage,AL,"1922397-2"
CA,1922397,3,"3rd Party",Prop Damage,AL,"1922397-3"
CA,1922477,1,"1st Party",Coll,APD,"1922477-1"
CA,1922477,2,"3rd Party",Prop Damage,AL,"1922477-2"
CA,1922565,1,"3rd Party",Coll,AL,"1922565-1"
CA,1922757,1,"1st Party",Coll,APD,"1922757-1"
CA,1922757,2,"3rd Party",Coll,AL,"1922757-2"
CA,1922817,1,"1st Party",Coll,APD,"1922817-1"
CA,1922817,2,"3rd Party",Prop Damage,AL,"1922817-2"
CA,1922865,1,"1st Party",Coll,APD,"1922865-1"
CA,1922865,2,"3rd Party",Prop Damage,AL,"1922865-2"
CA,1923017,1,"1st Party",Coll,APD,"1923017-1"
CA,1923573,1,"3rd Party",Prop Damage,AL,"1923573-1"
CA,1923573,2,"3rd Party",Prop Damage,AL,"1923573-2"
CA,1923695,1,"1st Party",Coll,APD,"1923695-1"
CA,1923695,2,"3rd Party",Coll,AL,"1923695-2"
CA,1923752,1,"1st Party",Prop Damage,APD,"1923752-1"
CA,1923752,2,"3rd Party",Comp ,AL,"1923752-2"
CA,1923752,3,"3rd Party",Prop Damage,AL,"1923752-3"
CA,1923985,1,"1st Party",Comp ,APD,"1923985-1"
CA,1924082,1,"1st Party",Prop Damage,APD,"1924082-1"
CA,1924082,2,"3rd Party",Prop Damage,AL,"1924082-2"
CA,1924588,1,"1st Party",Comp ,APD,"1924588-1"
CA,1925039,1,"1st Party",Coll,APD,"1925039-1"
CA,1925435,1,"1st Party",Coll,APD,"1925435-1"
CA,1925435,2,"3rd Party",Prop Damage,AL,"1925435-2"
CA,1925489,1,"1st Party",Coll,APD,"1925489-1"
CA,1925489,2,"3rd Party",Prop Damage,AL,"1925489-2"
CA,1925658,1,"1st Party",Prop Damage,APD,"1925658-1"
CA,1925658,2,"3rd Party",Prop Damage,AL,"1925658-2"
CA,1925661,1,"1st party","1st Party OTC",APD,"1925661-1"
CA,1925775,1,"1st Party",Comp ,APD,"1925775-1"
CA,1926492,1,"3rd Party",Prop Damage,AL,"1926492-1"
CA,1926492,2,"1st Party",Coll,APD,"1926492-2"
CA,1926492,3,"3rd Party",Prop Damage,AL,"1926492-3"
CA,1926492,4,"3rd Party",Prop Damage,AL,"1926492-4"
CA,1926497,1,"1st Party",Coll,APD,"1926497-1"
CA,1926497,2,"3rd Party",Prop Damage,AL,"1926497-2"
CA,1926497,3,"3rd Party",Prop Damage,AL,"1926497-3"
CA,1927165,1,"1st Party",Comp ,APD,"1927165-1"
CA,1927502,1,"1st Party",Prop Damage,APD,"1927502-1"
CA,1927502,2,"3rd Party",Prop Damage,AL,"1927502-2"
CA,1927590,1,"1st Party",Comp ,APD,"1927590-1"
CA,1927812,1,"3rd Party",Prop Damage,AL,"1927812-1"
CA,1928279,1,"1st Party",Comp ,APD,"1928279-1"
CA,1928320,1,"1st Party",Coll,APD,"1928320-1"
CA,1928322,1,"1st Party",Comp ,APD,"1928322-1"
CA,1928340,1,"1st Party",Coll,APD,"1928340-1"
CA,1928464,1,"3rd Party",Prop Damage,AL,"1928464-1"
CA,1928464,2,"3rd Party",Prop Damage,AL,"1928464-2"
CA,1928464,3,"3rd Party",Prop Damage,AL,"1928464-3"
CA,1928464,4,"3rd Party",Prop Damage,AL,"1928464-4"
CA,1928596,1,"1st Party",Comp ,APD,"1928596-1"
CA,1928669,1,"1st Party",Coll,APD,"1928669-1"
CA,1928669,2,"3rd Party",Prop Damage,AL,"1928669-2"
CA,1928669,3,"3rd Party",Prop Damage,AL,"1928669-3"
CA,1928693,1,"3rd Party",Prop Damage,AL,"1928693-1"
CA,1928906,1,"1st Party",Coll,APD,"1928906-1"
CA,1928934,1,"1st Party",Coll,APD,"1928934-1"
CA,1928934,2,"1st Party",Coll,APD,"1928934-2"
CA,1928934,3,"1st Party",UM Bodily Injury,APD,"1928934-3"
CA,1929106,1,"1st party",Coll,APD,"1929106-1"
CA,1929106,2,"3rd Party",Prop Damage,AL,"1929106-2"
CA,1929137,1,"1st Party",Prop Damage,APD,"1929137-1"
CA,1929137,2,"3rd Party",Prop Damage,AL,"1929137-2"
CA,1929617,1,"3rd Party",Liability PD,AL,"1929617-1"
CA,1930586,1,"3rd Party",Prop Damage,AL,"1930586-1"
CA,1930628,1,"1st Party",Coll,APD,"1930628-1"
CA,1930628,2,"1st Party",Prop Damage,APD,"1930628-2"
CA,1930680,1,"3rd Party",Prop Damage,AL,"1930680-1"
CA,1930680,2,"3rd Party",Prop Damage,AL,"1930680-2"
CA,1930680,3,"3rd Party",Prop Damage,AL,"1930680-3"
CA,1930680,4,"3rd Party",Prop Damage,AL,"1930680-4"
CA,1930680,5,"3rd Party",Prop Damage,AL,"1930680-5"
CA,1930680,6,"3rd Party",Coll,AL,"1930680-6"
CA,1930822,1,"3rd Party",Prop Damage,AL,"1930822-1"
CA,1931359,1,"1st Party",Coll,APD,"1931359-1"
CA,1931359,2,"3rd Party",Prop Damage,AL,"1931359-2"
CA,1931359,3,"3rd Party",Prop Damage,AL,"1931359-3"
CA,1931435,1,"3rd Party",Prop Damage,AL,"1931435-1"
CA,1931435,2,"3rd Party",Comp ,AL,"1931435-2"
CA,1931577,1,"3rd Party",Prop Damage,AL,"1931577-1"
CA,1932035,1,"1st Party",Comp ,APD,"1932035-1"
CA,1932068,1,"1st party",Coll,APD,"1932068-1"
CA,1932284,1,"1st Party",Coll,APD,"1932284-1"
CA,1932284,2,"3rd Party",Prop Damage,AL,"1932284-2"
CA,1932524,1,"1st Party",Coll,APD,"1932524-1"
CA,1932524,2,"3rd Party",Prop Damage,AL,"1932524-2"
CA,1933151,1,"3rd Party",Prop Damage,AL,"1933151-1"
CA,1933228,1,"3rd Party",Prop Damage,AL,"1933228-1"
CA,1933228,2,"3rd Party",Prop Damage,AL,"1933228-2"
CA,1933904,1,"1st Party",Comp ,APD,"1933904-1"
CA,1934215,1,"1st Party",Comp ,APD,"1934215-1"
CA,1934581,1,"1st Party",Coll,APD,"1934581-1"
CA,1934581,2,"3rd Party",Coll,AL,"1934581-2"
CA,1934648,1,"1st Party",Coll,APD,"1934648-1"
CA,1934710,1,"1st Party",Prop Damage,APD,"1934710-1"
CA,1934710,2,"3rd Party",Prop Damage,AL,"1934710-2"
CA,1935101,1,"1st Party",Prop Damage,APD,"1935101-1"
CA,1935101,2,"3rd Party",Prop Damage,AL,"1935101-2"
CA,1935101,3,"3rd Party",Prop Damage,AL,"1935101-3"
CA,1935192,1,"1st Party",Comp ,APD,"1935192-1"
CA,1935253,1,"1st Party",Comp ,APD,"1935253-1"
CA,1935336,1,"3rd Party",Prop Damage,AL,"1935336-1"
CA,1935336,2,"3rd Party",Coll,AL,"1935336-2"
CA,1935336,3,"3rd Party",Coll,AL,"1935336-3"
CA,1935345,1,"1st Party",Comp ,APD,"1935345-1"
CA,1935818,1,"1st Party",Prop Damage,APD,"1935818-1"
CA,1935818,2,"3rd Party",Prop Damage,AL,"1935818-2"
CA,1935823,1,"1st Party",Coll,APD,"1935823-1"
CA,1935823,2,"3rd Party",Med Pay,AL,"1935823-2"
CA,1935823,3,"3rd Party",Uninsured/underinsured motorist,AL,"1935823-3"
CA,1935943,1,"1st Party",Coll,APD,"1935943-1"
CA,1935943,2,"3rd Party",Prop Damage,AL,"1935943-2"
CA,1936730,1,"1st Party",Comp ,APD,"1936730-1"
CA,1936746,1,"1st Party",Prop Damage,APD,"1936746-1"
CA,1936746,2,"3rd Party",Prop Damage,AL,"1936746-2"
CA,1936764,1,"3rd Party",Prop Damage,AL,"1936764-1"
CA,1936764,2,"3rd Party",Prop Damage,AL,"1936764-2"
CA,1936768,1,"3rd Party",Prop Damage,AL,"1936768-1"
CA,1937204,1,"1st Party",Prop Damage,APD,"1937204-1"
CA,1937204,2,"3rd Party",Prop Damage,AL,"1937204-2"
CA,1937530,1,"1st Party",Coll,APD,"1937530-1"
CA,1937865,1,"1st Party",Coll,APD,"1937865-1"
CA,1937865,2,"3rd Party",Prop Damage,AL,"1937865-2"
CA,1937865,3,"3rd Party",Prop Damage,AL,"1937865-3"
CA,1937865,4,"3rd Party",Prop Damage,AL,"1937865-4"
CA,1937983,1,"1st Party",Coll,APD,"1937983-1"
CA,1938014,1,"3rd Party",Prop Damage,AL,"1938014-1"
CA,1938014,2,"3rd Party",Prop Damage,AL,"1938014-2"
CA,1938152,1,"1st Party",Prop Damage,APD,"1938152-1"
CA,1938152,2,"3rd Party",Prop Damage,AL,"1938152-2"
CA,1938173,1,"3rd Party",Prop Damage,AL,"1938173-1"
CA,1938173,2,"1st Party",Coll,APD,"1938173-2"
CA,1938173,3,"1st Party",Coll,APD,"1938173-3"
CA,1938173,4,"3rd Party",Prop Damage,AL,"1938173-4"
CA,1940050,1,"1st party",Coll,APD,"1940050-1"
CA,1940050,2,"3rd Party",Prop Damage,AL,"1940050-2"
CA,1940642,1,"1st Party",Coll,APD,"1940642-1"
CA,1940642,2,"3rd Party",Prop Damage,AL,"1940642-2"
CA,1940971,1,"3rd Party",Prop Damage,AL,"1940971-1"
CA,1941164,1,"1st Party",Coll,APD,"1941164-1"
CA,1941164,2,"3rd Party",Prop Damage,AL,"1941164-2"
CA,1941385,1,"1st Party",Coll,APD,"1941385-1"
CA,1941408,1,"3rd Party",Prop Damage,AL,"1941408-1"
CA,1941749,1,"1st Party",Comp ,APD,"1941749-1"
CA,1941851,1,"3rd Party",Prop Damage,AL,"1941851-1"
CA,1941853,1,"1st Party",Prop Damage,APD,"1941853-1"
CA,1941853,2,"3rd Party",Prop Damage,AL,"1941853-2"
CA,1941853,3,"3rd Party",Prop Damage,AL,"1941853-3"
CA,1941956,1,"1st Party",Coll,APD,"1941956-1"
CA,1941956,2,"1st Party",Prop Damage,APD,"1941956-2"
CA,1942081,1,"3rd Party",Prop Damage,AL,"1942081-1"
CA,1942081,2,"3rd Party",Prop Damage,AL,"1942081-2"
CA,1942081,3,"3rd Party",Prop Damage,AL,"1942081-3"
CA,1942321,1,"3rd Party",Prop Damage,AL,"1942321-1"
CA,1942321,2,"3rd Party",Coll,AL,"1942321-2"
CA,1942516,1,"3rd Party",Prop Damage,AL,"1942516-1"
CA,1943575,1,"3rd Party",Prop Damage,AL,"1943575-1"
CA,1943575,2,"1st Party",Coll,APD,"1943575-2"
CA,1943576,1,"1st party",Coll,APD,"1943576-1"
CA,1943576,2,"3rd Party",Prop Damage,AL,"1943576-2"
CA,1943576,3,"3rd Party",Prop Damage,AL,"1943576-3"
CA,1943576,4,"3rd Party",Prop Damage,AL,"1943576-4"
CA,1943699,1,"1st Party",Coll,APD,"1943699-1"
CA,1943699,2,"3rd Party",Coll,AL,"1943699-2"
CA,1943955,1,"1st Party",Prop Damage,APD,"1943955-1"
CA,1943955,2,"3rd Party",Prop Damage,AL,"1943955-2"
CA,1944005,1,"1st Party",Coll,APD,"1944005-1"
CA,1944005,2,"3rd Party",Prop Damage,AL,"1944005-2"
CA,1944005,3,"3rd Party",Prop Damage,AL,"1944005-3"
CA,1944027,1,"1st Party",Prop Damage,APD,"1944027-1"
CA,1944027,2,"3rd Party",Prop Damage,AL,"1944027-2"
CA,1944027,3,"3rd Party",Prop Damage,AL,"1944027-3"
CA,1944028,1,"1st Party",Comp ,APD,"1944028-1"
CA,1944070,1,"1st Party",Coll,APD,"1944070-1"
CA,1944070,2,"3rd Party",Prop Damage,AL,"1944070-2"
CA,1944545,1,"3rd Party",Prop Damage,AL,"1944545-1"
CA,1944545,2,"1st Party",Coll,APD,"1944545-2"
CA,1944611,1,"3rd Party",Prop Damage,AL,"1944611-1"
CA,1945951,1,"1st Party",Comp ,APD,"1945951-1"
CA,1946037,1,"1st Party",Coll,APD,"1946037-1"
CA,1946037,2,"3rd Party",Prop Damage,AL,"1946037-2"
CA,1946037,3,"3rd Party",Prop Damage,AL,"1946037-3"
CA,1946049,1,"3rd Party",Prop Damage,AL,"1946049-1"
CA,1946134,1,"1st Party",Comp ,APD,"1946134-1"
CA,1946430,1,"1st Party",Comp ,APD,"1946430-1"
CA,1946633,1,"3rd Party",Prop Damage,AL,"1946633-1"
CA,1946637,1,"1st Party",Coll,APD,"1946637-1"
CA,1946637,2,"3rd Party",Prop Damage,AL,"1946637-2"
CA,1947702,1,"1st Party",Comp ,APD,"1947702-1"
CA,1947714,1,"3rd Party",Prop Damage,AL,"1947714-1"
CA,1947747,1,"1st Party",Comp ,APD,"1947747-1"
CA,1947789,1,"3rd Party",Prop Damage,AL,"1947789-1"
CA,1947789,2,"1st Party",Coll,APD,"1947789-2"
CA,1948096,1,"3rd Party",Prop Damage,AL,"1948096-1"
CA,1948531,1,"1st Party",Prop Damage,APD,"1948531-1"
CA,1948531,2,"3rd Party",Prop Damage,AL,"1948531-2"
CA,1948606,1,"1st Party",Coll,APD,"1948606-1"
CA,1948606,2,"3rd Party",Prop Damage,AL,"1948606-2"
CA,1948670,1,"1st Party",Coll,APD,"1948670-1"
CA,1948670,2,"3rd Party",Coll,AL,"1948670-2"
CA,1949985,1,"1st Party",Coll,APD,"1949985-1"
CA,1949985,2,"3rd Party",Prop Damage,AL,"1949985-2"
CA,1950030,1,"1st Party",Coll,APD,"1950030-1"
CA,1950030,2,"3rd Party",Prop Damage,AL,"1950030-2"
CA,1950030,3,"3rd Party",Prop Damage,AL,"1950030-3"
CA,1950274,1,"1st Party",Coll,APD,"1950274-1"
CA,1950274,2,"1st Party",PIP,APD,"1950274-2"
CA,1950419,1,"3rd Party",Prop Damage,AL,"1950419-1"
CA,1950601,1,"1st Party",Comp ,APD,"1950601-1"
CA,1950717,1,"3rd Party",Prop Damage,AL,"1950717-1"
CA,1950717,2,"1st Party",Coll,APD,"1950717-2"
CA,1950717,3,"3rd Party",Prop Damage,AL,"1950717-3"
CA,1950717,4,"3rd Party",Prop Damage,AL,"1950717-4"
CA,1950717,5,"3rd Party",Prop Damage,AL,"1950717-5"
CA,1950717,6,"3rd Party",Prop Damage,AL,"1950717-6"
CA,1950971,1,"1st Party",Coll,APD,"1950971-1"
CA,1951076,1,"1st Party",Prop Damage,APD,"1951076-1"
CA,1951076,2,"3rd Party",Prop Damage,AL,"1951076-2"
CA,1951157,1,"3rd Party",Prop Damage,AL,"1951157-1"
CA,1951224,1,"1st Party",Coll,APD,"1951224-1"
CA,1951224,2,"3rd Party",Prop Damage,AL,"1951224-2"
CA,1951224,3,"3rd Party",Prop Damage,AL,"1951224-3"
CA,1951224,4,"3rd Party",Prop Damage,AL,"1951224-4"
CA,1951841,1,"1st Party",Coll,APD,"1951841-1"
CA,1951841,2,"3rd Party",Prop Damage,AL,"1951841-2"
CA,1951878,1,"1st Party",Coll,APD,"1951878-1"
CA,1951878,2,"3rd Party",Prop Damage,AL,"1951878-2"
CA,1952221,1,"3rd Party",Prop Damage,AL,"1952221-1"
CA,1952221,2,"3rd Party",Prop Damage,AL,"1952221-2"
CA,1952221,3,"1st Party",Coll,APD,"1952221-3"
CA,1952221,4,"3rd Party",Prop Damage,AL,"1952221-4"
CA,1952221,5,"3rd Party",Prop Damage,AL,"1952221-5"
CA,1952221,6,"3rd Party",Prop Damage,AL,"1952221-6"
CA,1952221,7,"3rd Party",Prop Damage,AL,"1952221-7"
CA,1952221,8,"3rd Party",Prop Damage,AL,"1952221-8"
CA,1953371,1,"3rd Party",Prop Damage,AL,"1953371-1"
CA,1953724,1,"1st Party",Prop Damage,APD,"1953724-1"
CA,1953724,2,"3rd Party",Prop Damage,AL,"1953724-2"
CA,1953799,1,"3rd Party",Prop Damage,AL,"1953799-1"
CA,1953799,2,"1st Party",Prop Damage,APD,"1953799-2"
CA,1953799,3,"3rd Party",Prop Damage,AL,"1953799-3"
CA,1954489,1,"3rd Party",Coll,AL,"1954489-1"
CA,1954489,2,"1st Party",Coll,APD,"1954489-2"
CA,1954646,1,"1st Party",Coll,APD,"1954646-1"
CA,1954646,2,"3rd Party",Prop Damage,AL,"1954646-2"
CA,1954646,3,"3rd Party",Prop Damage,AL,"1954646-3"
CA,1954767,1,"1st Party",Prop Damage,APD,"1954767-1"
CA,1954767,2,"3rd Party",Prop Damage,AL,"1954767-2"
CA,1954822,1,"3rd Party",Prop Damage,AL,"1954822-1"
CA,1954841,1,"3rd Party",Prop Damage,AL,"1954841-1"
CA,1954979,1,"1st Party",Comp ,APD,"1954979-1"
CA,1955415,1,"1st Party",Coll,APD,"1955415-1"
CA,1955798,1,"3rd Party",Prop Damage,AL,"1955798-1"
CA,1956484,1,"1st party",Coll,APD,"1956484-1"
CA,1956484,2,"1st party",Coll,APD,"1956484-2"
CA,1956484,3,"1st Party",Coll,APD,"1956484-3"
CA,1956484,4,"1st party",Coll,APD,"1956484-4"
CA,1956638,1,"1st Party",Comp ,APD,"1956638-1"
CA,1956681,1,"3rd Party",Prop Damage,AL,"1956681-1"
CA,1957440,1,"1st Party",Coll,APD,"1957440-1"
CA,1957440,2,"3rd Party",Prop Damage,AL,"1957440-2"
CA,1957614,1,"1st Party",Coll,APD,"1957614-1"
CA,1957614,2,"3rd Party",Coll,AL,"1957614-2"
CA,1957753,1,"1st party",Coll,APD,"1957753-1"
CA,1957753,2,"3rd Party",Prop Damage,AL,"1957753-2"
CA,1957753,3,"3rd Party",Prop Damage,AL,"1957753-3"
CA,1957753,4,"3rd Party",Prop Damage,AL,"1957753-4"
CA,1957938,1,"1st Party",Prop Damage,APD,"1957938-1"
CA,1957938,2,"3rd Party",Prop Damage,AL,"1957938-2"
CA,1958182,1,"3rd Party",Prop Damage,AL,"1958182-1"
CA,1958182,2,"1st Party",Coll,APD,"1958182-2"
CA,1958339,1,"1st Party",Coll,APD,"1958339-1"
CA,1958339,2,"3rd Party",Prop Damage,AL,"1958339-2"
